iter	Passed	Remaining
186	1195	5195
187	1200	5184
188	1205	5173
189	1210	5160
190	1215	5148
191	1220	5136
192	1225	5125
193	1230	5113
194	1235	5102
195	1241	5091
196	1245	5078
197	1251	5067
198	1256	5055
199	1261	5047
200	1266	5035
201	1273	5029
202	1277	5017
203	1282	5004
204	1287	4994
205	1292	4981
206	1297	4969
207	1302	4959
208	1307	4948
209	1312	4935
210	1316	4923
211	1321	4911
212	1326	4900
213	1331	4888
214	1336	4879
215	1341	4867
216	1345	4855
217	1350	4845
218	1355	4835
219	1360	4823
220	1365	4813
221	1371	4804
222	1376	4795
223	1381	4784
224	1386	4776
225	1391	4765
226	1396	4753
227	1401	4745
228	1406	4734
229	1410	4723
230	1415	4713
231	1420	4701
232	1424	4689
233	1429	4680
234	1434	4670
235	1439	4660
236	1444	4649
237	1449	4640
238	1454	4632
239	1459	4622
240	1465	4614
241	1471	4609
242	1477	4602
243	1482	4593
244	1488	4585
245	1492	4575
246	1498	4568
247	1504	4561
248	1509	4553
249	1515	4545
250	1520	4537
251	1526	4530
252	1532	4523
253	1537	4514
254	1541	4504
255	1546	4495
256	1551	4486
257	1556	4477
258	1561	4468
259	1566	4459
260	1571	4450
261	1576	4442
262	1582	4433
263	1586	4424
264	1592	4416
265	1597	4406
266	1601	4396
267	1606	4386
268	1610	4377
269	1615	4367
270	1620	4358
271	1624	4348
272	1629	4340
273	1634	4330
274	1639	4321
275	1644	4312
276	1648	4302
277	1652	4292
278	1658	4285
279	1663	4277
280	1668	4269
281	1672	4259
282	1678	4253
283	1684	4245
284	1689	4237
285	1693	4228
286	1698	4219
287	1702	4209
288	1707	4201
289	1711	4191
290	1716	4182
291	1721	4173
292	1726	4167
293	1731	4159
294	1736	4149
295	1741	4142
296	1746	4133
297	1751	4125
298	1757	4119
299	1761	4110
300	1766	4102
301	1771	4094
302	1777	4088
303	1782	4080
304	1788	4074
305	1792	4065
306	1797	4058
307	1803	4051
308	1807	4043
309	1812	4035
310	1818	4028
311	1822	4019
312	1827	4010
313	1831	4002
314	1836	3993
315	1840	3984
316	1846	3978
317	1853	3976
318	1859	3970
319	1865	3963
320	1870	3956
321	1875	3949
322	1881	3943
323	1886	3936
324	1891	3928
325	1897	3924
326	1903	3917
327	1908	3910
328	1913	3903
329	1919	3897
330	1924	3890
331	1930	3883
332	1935	3876
333	1940	3869
334	1946	3863
335	1950	3855
336	1956	3848
337	1961	3842
338	1967	3836
339	1972	3828
340	1977	3822
341	1982	3815
342	1987	3807
343	1993	3800
344	1997	3793
345	2002	3785
346	2007	3777
347	2012	3770
348	2017	3763
349	2022	3756
350	2028	3750
351	2033	3743
352	2039	3737
353	2044	3730
354	2049	3723
355	2054	3715
356	2059	3708
357	2065	3703
358	2070	3696
359	2075	3689
360	2080	3681
361	2085	3675
362	2090	3669
363	2096	3662
364	2101	3655
365	2106	3649
366	2111	3642
367	2116	3635
368	2121	3628
369	2127	3621
370	2132	3615
371	2137	3609
372	2143	3602
373	2148	3595
374	2153	3588
375	2158	3581
376	2162	3574
377	2167	3566
378	2172	3559
379	2178	3554
380	2183	3548
381	2189	3542
382	2194	3535
383	2199	3528
384	2205	3522
385	2209	3514
386	2214	3507
387	2219	3501
388	2224	3494
389	2229	3487
390	2235	3481
391	2240	3474
392	2245	3468
393	2250	3462
394	2256	3455
395	2260	3448
396	2266	3441
397	2271	3435
398	2276	3429
399	2281	3422
400	2287	3417
401	2293	3411
402	2298	3404
403	2303	3398
404	2308	3391
405	2313	3384
406	2318	3378
407	2323	3371
408	2328	3364
409	2334	3359
410	2339	3352
411	2344	3345
412	2349	3339
413	2354	3332
414	2359	3325
415	2363	3318
416	2369	3312
